转债代码,转债名称,股票代码,股票名称,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌.1,剩余本息,转股价格,转股溢价率,转股价值,距离转股日,剩余年限,回售年限,转债余额,转债成交额,转债换手率,余额/市值,余额/股本,股票市值,P/B,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,老式双低,老式排名,新式双低,新式排名,热门度,日期
128125,华阳转债!,2949,华阳国际,建筑,建筑工程,109.349,-0.03%,0.21%,12.85,1.34%,117.5,25.09,114%,51.22,已到,3.77年,1.77年,4.5,2.5,0.50%,17.90%,9.10%,25,1.9,1.96%,1.13%,-3.14%,-3.41%,92.12,95.1,0.13,AA-,5.89%,167.5,293,72.4,280,19,2022/10/21
113597,佳力转债!,603912,佳力图,机械装备制造,专用设备,119.796,-0.28%,0.32%,10.39,0.19%,123.3,16.36,88.60%,63.51,已到,3.77年,1.77年,2.98,8,2.20%,9.40%,6.00%,32,3.36,0.78%,-0.26%,-7.45%,-7.74%,92.47,99.83,0.23,AA-,5.89%,176.1,353,76.3,313,27,2022/10/21
123063,大禹转债,300021,大禹节水,化工,橡胶塑料,122.394,-0.27%,0.58%,4.8,0.63%,125.5,4.72,20.40%,101.69,已到,3.76年,2.76年,6.35,11,1.40%,15.30%,15.60%,41,2.32,0.68%,-0.44%,-4.86%,-5.22%,89.89,101.66,0.5,AA-,5.89%,143.1,61,41.4,50,21,2022/10/21
128124,科华转债!,2022,*ST 科华,医药,生物制药,103.994,-0.10%,0.19%,13.42,0.37%,109.5,21.24,64.60%,63.18,已到,3.76年,1.76年,7.38,15,1.90%,10.70%,6.80%,69,1.9,1.40%,0.92%,-0.87%,-1.10%,89.81,85.27,0.25,A+,6.99%,144.8,72,55,128,44,2022/10/21
113596,城地转债!,603887,城地香江,通信互联网,通信设备及工程,96.271,0.15%,-0.15%,6.64,2.00%,112.5,24.26,252%,27.37,已到,3.76年,1.76年,12,7,0.60%,40.00%,11.00%,30,0.97,4.31%,3.67%,3.50%,3.20%,87.19,81.92,0,A-,8.99%,165.2,278,78,334,58,2022/10/21
128123,国光转债!,2749,国光股份,化工,农化,113.589,-0.02%,-0.20%,8.92,-0.78%,115,13.17,67.70%,67.73,已到,3.76年,1.76年,3.2,1.2,0.30%,8.20%,5.60%,39,2.77,0.34%,-0.38%,-5.02%,-5.29%,92.24,93.15,0.27,AA-,5.89%,159.4,210,66.3,234,23,2022/10/21
110073,国投转债!,600061,国投资本,金融,证券行业,105.017,-0.09%,-0.07%,6.2,-0.64%,109.9,9.75,65.10%,63.59,已到,3.75年,无权,80,28,0.30%,20.10%,12.80%,398,0.85,1.23%,0.74%,无权,无权,无权,98.18,0.25,AAA,3.09%,146.4,83,48.3,90,26,2022/10/21
128122,兴森转债!,2436,兴森科技,电子,元器件制造,125.2,-1.42%,0.56%,10.69,-2.99%,112.5,13.51,58.20%,79.13,已到,2.75年,1.75年,2.69,118,35.10%,1.50%,1.20%,181,4.01,-3.86%,-4.64%,-9.81%,-10.00%,96.18,102.25,0.29,AA,3.58%,171.3,322,69,249,16,2022/10/21
113037,紫银转债!,601860,紫金银行,金融,银行行业,103.695,0.15%,-0.44%,2.64,-1.12%,115,3.95,55.10%,66.84,已到,3.75年,无权,45,12,0.30%,46.60%,31.10%,97,0.6,2.86%,2.11%,无权,无权,无权,102.13,0.26,AA+,3.29%,140.6,47,38.4,34,32,2022/10/21
123061,航新转债!,300424,航新科技,航空航天,航空航天行业,122.6,-0.45%,-0.01%,12.52,-0.95%,123.5,14.84,45.30%,84.37,已到,3.75年,1.75年,2.5,15,5.00%,8.30%,7.00%,30,4.31,0.20%,-0.85%,-8.56%,-8.87%,89.38,93.21,0.48,A,7.99%,160.8,223,67.6,239,30,2022/10/21
